gene,target_id,cluster
FBgn0032036,FBtr0303471,9
FBgn0032170,FBtr0343739,19
FBgn0032230,FBtr0302490,2
FBgn0032388,FBtr0301171,4
FBgn0032483,FBtr0080487,7
FBgn0032535,FBtr0080554,7
FBgn0032629,FBtr0080971,1
FBgn0032681,FBtr0081085,2
FBgn0032682,FBtr0300674,1
FBgn0032693,FBtr0081077,1
FBgn0032741,FBtr0081141,4
FBgn0032833,FBtr0332243,3
FBgn0032843,FBtr0343848,7
FBgn0032955,FBtr0085923,1
FBgn0032957,FBtr0085914,6
FBgn0033000,FBtr0345361,1
FBgn0033010,FBtr0086080,5
FBgn0033067,FBtr0086005,6
FBgn0033069,FBtr0085990,6
FBgn0033074,FBtr0085994,4
FBgn0033380,FBtr0088569,3
FBgn0033483,FBtr0088406,4
FBgn0033590,FBtr0088194,5
FBgn0033649,FBtr0113070,2
FBgn0033652,FBtr0088030,5
FBgn0033817,FBtr0087744,1
FBgn0033987,FBtr0087409,2
FBgn0033987,FBtr0087411,2
FBgn0034002,FBtr0339994,1
FBgn0034013,FBtr0087382,2
FBgn0034158,FBtr0087031,4
FBgn0034175,FBtr0087060,1
FBgn0034225,FBtr0086926,2
FBgn0034251,FBtr0086834,6
FBgn0034264,FBtr0086860,5
FBgn0034275,FBtr0089546,1
FBgn0034324,FBtr0086760,16
FBgn0034326,FBtr0307185,13
FBgn0034356,FBtr0113093,1
FBgn0034463,FBtr0340595,12
FBgn0034464,FBtr0086472,9
FBgn0034467,FBtr0086481,11
FBgn0034468,FBtr0086476,9
FBgn0034479,FBtr0305677,1
FBgn0034479,FBtr0342667,1
FBgn0034504,FBtr0345355,4
FBgn0034515,FBtr0086267,10
FBgn0034602,FBtr0071583,2
FBgn0034606,FBtr0071622,1
FBgn0034611,FBtr0342884,4
FBgn0034644,FBtr0071662,3
FBgn0034655,FBtr0071671,2
FBgn0034657,FBtr0071713,3
FBgn0034846,FBtr0290285,12
FBgn0035157,FBtr0072606,1
FBgn0035234,FBtr0072744,6
FBgn0035236,FBtr0072746,7
FBgn0035343,FBtr0072968,3
FBgn0035344,FBtr0072967,3
FBgn0035358,FBtr0072949,1
FBgn0035397,FBtr0072993,4
FBgn0035397,FBtr0072998,17
FBgn0035422,FBtr0306567,3
FBgn0035432,FBtr0073058,1
FBgn0035521,FBtr0113136,1
FBgn0035571,FBtr0073363,5
FBgn0035625,FBtr0331806,1
FBgn0035656,FBtr0077070,5
FBgn0035656,FBtr0332041,5
FBgn0035713,FBtr0076951,6
FBgn0035772,FBtr0302546,3
FBgn0035852,FBtr0076723,6
FBgn0035954,FBtr0076521,1
FBgn0035956,FBtr0076547,1
FBgn0036007,FBtr0333864,1
FBgn0036007,FBtr0333865,5
FBgn0036150,FBtr0076185,3
FBgn0036214,FBtr0076035,3
FBgn0036214,FBtr0332130,6
FBgn0036474,FBtr0075659,10
FBgn0036503,FBtr0075603,3
FBgn0036599,FBtr0075470,1
FBgn0036778,FBtr0075135,10
FBgn0036962,FBtr0074849,6
FBgn0037007,FBtr0078218,3
FBgn0037007,FBtr0078219,1
FBgn0037046,FBtr0078326,1
FBgn0037050,FBtr0305500,1
FBgn0037085,FBtr0332718,12
FBgn0037086,FBtr0078393,10
FBgn0037213,FBtr0078961,1
FBgn0037213,FBtr0078962,2
FBgn0037261,FBtr0078895,8
FBgn0037262,FBtr0345249,2
