,gene_id,tr_id,D,cluster
154,FBgn0035954,FBtr0076521,0.0054546596620263284,1
155,FBgn0035956,FBtr0076547,0.006634546868290554,1
156,FBgn0036007,FBtr0333864,0.04991305690436198,1
157,FBgn0036007,FBtr0333865,0.044481125195898974,5
158,FBgn0037007,FBtr0078218,0.005474556251296813,3
159,FBgn0037007,FBtr0078219,0.0171530477810824,1
160,FBgn0037085,FBtr0332718,0.0964676602488128,12
161,FBgn0037213,FBtr0078961,0.007907301267533478,1
162,FBgn0037213,FBtr0078962,0.005073065300429585,2
163,FBgn0037261,FBtr0078895,0.0061895559101393,8
164,FBgn0037363,FBtr0334946,0.0067266671094480725,2
165,FBgn0037992,FBtr0082550,0.030080802320441143,10
166,FBgn0037992,FBtr0308292,0.060644049362794425,10
167,FBgn0038071,FBtr0082648,0.0036870303417110423,2
168,FBgn0038385,FBtr0083201,0.007442650091410791,1
169,FBgn0038475,FBtr0083422,0.015463965954101787,3
170,FBgn0038476,FBtr0305987,0.01821593714071577,9
171,FBgn0038535,FBtr0089416,0.019008175439598284,4
172,FBgn0038803,FBtr0083908,0.02317311032668621,6
173,FBgn0039026,FBtr0084312,0.026497005104023374,2
174,FBgn0039286,FBtr0084803,0.008530470116143314,5
175,FBgn0039286,FBtr0330288,0.008530470116143314,5
176,FBgn0039286,FBtr0330289,0.033958883098242104,1
177,FBgn0039350,FBtr0084889,0.1040062307575813,9
178,FBgn0039350,FBtr0336450,0.0811268297326846,6
179,FBgn0039350,FBtr0445401,0.11116936094700093,6
180,FBgn0040038,FBtr0113686,0.013124108810679446,5
181,FBgn0041160,FBtr0075580,0.0070785551722979375,1
182,FBgn0041184,FBtr0081040,0.028680623110528526,4
183,FBgn0041184,FBtr0329928,0.028680623110528526,4
184,FBgn0044028,FBtr0075435,0.035889759849036015,14
185,FBgn0050015,FBtr0113357,0.0067923972251052326,2
186,FBgn0050089,FBtr0340007,0.013351335023387466,1
187,FBgn0050115,FBtr0340387,0.015402320858654131,2
188,FBgn0051523,FBtr0078937,0.026876004537682303,7
189,FBgn0051721,FBtr0080096,0.025260963177359198,5
190,FBgn0052227,FBtr0074848,0.03535246598049142,4
191,FBgn0052982,FBtr0301040,0.040597376995849255,1
192,FBgn0053113,FBtr0079042,0.1316588977300614,2
193,FBgn0053113,FBtr0079043,0.14640528159875768,2
194,FBgn0053113,FBtr0079044,0.024624543900333088,1
195,FBgn0053207,FBtr0083162,0.013507831830989978,5
196,FBgn0053526,FBtr0091487,0.018700681464193868,4
197,FBgn0083940,FBtr0110782,0.1174913018436139,8
198,FBgn0085412,FBtr0329899,0.021007727888356028,2
199,FBgn0085424,FBtr0342628,0.02346348304758189,2
200,FBgn0085432,FBtr0100246,0.1032927410852526,3
201,FBgn0085432,FBtr0112657,0.09871039486566564,4
202,FBgn0086690,FBtr0333940,0.07058423514687141,8
203,FBgn0086690,FBtr0333946,0.02355317398961803,2
204,FBgn0259211,FBtr0299706,0.01584384926283959,3
205,FBgn0259211,FBtr0300538,0.022070206494055902,2
206,FBgn0259211,FBtr0345791,0.031599202574838336,4
207,FBgn0259212,FBtr0334910,0.11751527890394535,2
208,FBgn0259740,FBtr0302201,0.012511307084634372,5
209,FBgn0260400,FBtr0070091,1.1003780907440543,2
210,FBgn0260635,FBtr0075501,0.04430796491067079,9
211,FBgn0260635,FBtr0333618,0.02601769473230597,9
212,FBgn0261554,FBtr0302702,0.009647970134751606,5
213,FBgn0261560,FBtr0077524,0.04340770648624065,5
214,FBgn0261563,FBtr0305063,0.0459932261891048,1
215,FBgn0261648,FBtr0089913,0.02074373394122348,2
216,FBgn0261648,FBtr0343619,0.015014627389960568,2
217,FBgn0261822,FBtr0079573,0.07288496164693087,2
218,FBgn0261873,FBtr0089974,0.01465317125039645,2
219,FBgn0261873,FBtr0308217,0.02759996336753172,2
220,FBgn0261930,FBtr0070110,0.017220438057315813,3
221,FBgn0262614,FBtr0305298,0.006093417680723377,1
222,FBgn0262614,FBtr0305303,0.11584125455439155,8
223,FBgn0262614,FBtr0305304,0.021147572819383814,3
224,FBgn0262624,FBtr0072836,0.012308020657565366,5
225,FBgn0262719,FBtr0305700,0.015566188286769794,2
226,FBgn0262719,FBtr0308608,0.009683154981028676,1
227,FBgn0262867,FBtr0307501,0.03214453219240495,6
228,FBgn0262867,FBtr0336524,0.07915906175804324,14
229,FBgn0263102,FBtr0088278,0.10979561595131336,6
230,FBgn0263102,FBtr0088281,0.08212817037984257,4
231,FBgn0263102,FBtr0100607,0.17111157474926705,8
232,FBgn0263144,FBtr0336519,0.026540858046403503,3
233,FBgn0263256,FBtr0308298,0.007918920797086903,1
234,FBgn0263256,FBtr0330321,0.021041805224952588,3
235,FBgn0263256,FBtr0339672,0.005980022817331815,1
236,FBgn0263256,FBtr0344862,0.028097488419290374,4
237,FBgn0264089,FBtr0330730,0.015124762940169675,2
238,FBgn0264270,FBtr0331254,0.0791503926475671,11
239,FBgn0264270,FBtr0331259,0.02823769649590171,8
240,FBgn0264270,FBtr0336729,0.08816600727071554,11
241,FBgn0264598,FBtr0333527,0.011177537175857065,2
242,FBgn0264707,FBtr0333956,0.010745274426250664,1
243,FBgn0264895,FBtr0334847,0.012693775227660228,1
244,FBgn0264895,FBtr0334848,0.010834669098913695,1
245,FBgn0265003,FBtr0335516,0.06815983637359146,20
246,FBgn0265082,FBtr0336809,0.011100826046347495,5
247,FBgn0265274,FBtr0085350,0.006370338387120234,1
248,FBgn0265274,FBtr0330306,0.006782944645151728,1
249,FBgn0265274,FBtr0345207,0.06921487640796445,6
250,FBgn0265276,FBtr0082533,0.035139252835432636,2
251,FBgn0265276,FBtr0110876,0.0060220311718612715,1
252,FBgn0265276,FBtr0110877,0.02527872914643654,2
253,FBgn0265276,FBtr0305186,0.026316992420818624,1
254,FBgn0265276,FBtr0307082,0.03100621280982395,2
255,FBgn0265276,FBtr0330170,0.02527872914643654,2
256,FBgn0266101,FBtr0343559,0.04473130867837185,6
257,FBgn0266129,FBtr0072458,0.06279477732003659,8
258,FBgn0266129,FBtr0330231,0.05148090445965809,8
259,FBgn0266418,FBtr0344405,0.013074772667834696,2
260,FBgn0266418,FBtr0344406,0.04075281295180385,4
261,FBgn0266696,FBtr0345085,0.04203221597335975,2
262,FBgn0266696,FBtr0345108,0.3203944649299395,6
263,FBgn0266696,FBtr0345113,0.01435130266826412,5
264,FBgn0266756,FBtr0334286,0.014283127861825997,2
265,FBgn0266756,FBtr0334288,0.08590029137157795,11
266,FBgn0267348,FBtr0076382,0.010245505544172959,5
267,FBgn0267790,FBtr0304684,0.07821283205210029,2
268,FBgn0267791,FBtr0086219,0.04516105157802109,2
269,FBgn0267791,FBtr0086222,0.0407516875259978,4
270,FBgn0268063,FBtr0076793,0.0075110743906828936,1
271,FBgn0268063,FBtr0332144,0.009924272717581816,1
272,FBgn0278608,FBtr0089259,0.03056112204717587,5
273,FBgn0283521,FBtr0089344,0.044682064323467684,6
274,FBgn0283521,FBtr0089362,0.0672181960168917,7
275,FBgn0283741,FBtr0302655,0.18089731922003385,4
276,FBgn0283741,FBtr0332901,0.15738327053548726,4
277,FBgn0284084,FBtr0079432,0.010097299722822285,5
278,FBgn0284243,FBtr0086537,0.04482472516092421,6
